Folder,Genre,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,artist_name,track_title,Track ID
000,Hip-Hop,0.4166752327,0.6758939853,0.6344762684,0.010628068300000001,0.17764657120000002,0.1593100648,165.922,0.576660988,AWOL,Food,2
000,Hip-Hop,0.0435668989,0.7455658702,0.7014699916,0.0006967989999999999,0.37314331240000004,0.12459534189999999,100.26,0.6216612236,AWOL,This World,5
000,Pop,0.9516699648,0.6581786543,0.9245251615000001,0.9654270154000001,0.1154738842,0.032985219100000004,111.562,0.9635898919,Kurt Vile,Freeway,10
000,Folk,0.3763124975,0.7340790229,0.2656847734,0.6695811237,0.08599512220000001,0.0390682262,107.952,0.6099912728,Alec K. Redfearn & the Eyesores,Queen Of The Wires,140
000,Folk,0.9636568795999999,0.43593299799999996,0.0756321472,0.34549349090000003,0.1056858694,0.0266578493,33.477,0.1639499337,Alec K. Redfearn & the Eyesores,Ohio,141
000,Experimental,,,,,,,,,Contradiction,Blackout 2,148
000,Rock,,,,,,,,,Ariel Pink's Haunted Graffiti,Jules Lost His Jewels,182
000,Folk,0.9906294901999999,0.5007534567,0.3712297429,0.10283844380000001,0.21881019420000003,0.0325288108,100.919,0.2512323052,Ed Askew,Castle Of Stars,190
000,Folk,0.9140388753,0.6406010435,0.1640712523,0.7605621934000001,0.25839903280000004,0.09921032119999999,49.831,0.19078971100000003,Ed Askew,Here With You,193
000,Folk,0.9929059493000001,0.49473017659999996,0.2003375585,0.618086852,0.0864499383,0.0389377953,103.779,0.2532444151,Ed Askew,All I want to Do,194
000,Folk,0.9835851840000001,0.6026565649,0.007043696899999999,0.7917134418,0.08002191269999999,0.4211134428,128.698,0.7700094570999999,Ed Askew,Piano 2,197
000,Folk,0.9601916036,0.21592592859999998,0.29512645579999996,0.8029777144,0.17007612079999998,0.037825105299999995,200.391,0.3677399293,Ed Askew,Baby Come Home,200
000,Folk,0.9927647775,0.5889867604,0.13791829460000002,0.0873760557,0.0957687898,0.05846397440000001,122.31,0.6310426834,Ed Askew,Song For R,203
000,Folk,0.9767540277,0.4134284125,0.2261673577,0.2648709939,0.1450636575,0.0394289715,105.012,0.2535385321,Ed Askew,My Dream,204
000,Folk,0.9872581156,0.6337333928,0.008987467800000001,0.91008157,0.1079745759,0.24867332190000002,49.581,0.7088659407,Ed Askew,Piano 3,207
000,Folk,0.9895332895000001,0.43018957979999994,0.2270358594,0.5246838508,0.10581529419999999,0.034497727799999996,96.845,0.2727912235,Ed Askew,In the French Court,210
000,Folk,0.9911357831000001,0.6055538261,0.1730043357,0.8060266737,0.1652396741,0.0298381006,95.105,0.15460030660000001,Ed Askew,In America,211
000,Folk,0.8440504744,0.6687378163000001,0.35695776009999997,0.0298648372,0.6185204718,0.0289271098,100.117,0.34881740340000006,Ed Askew,When I Arive,212
000,Pop,0.933741035,0.3127198225,0.34099904659999997,0.9192423237,0.0829758431,0.032745236000000004,142.499,0.0430538151,Au,Boute,213
000,Rock,0.9873281737,0.7035909912999999,0.4357120518,0.9017230301000001,0.11375812029999999,0.0676240084,122.811,0.9108207731999999,Bird Names,We Want to be Old,255
000,Rock,0.4302465419,0.2620499343,0.9720856698999999,0.8966929619,0.40734358979999996,0.151244955,118.281,0.061796259900000004,Black Elk,Toggle,256
000,Rock,0.6372758449,0.3129760859,0.11646923890000001,0.5407334524,0.1017832597,0.0482104514,135.812,0.0761348547,Blah Blah Blah,Vampires,368
000,Experimental,,,,,,,,,Brian Joseph Davis,The Ambient Honky,424
000,Rock,,,,,,,,,CAVE,Machines and Muscles,459
000,Folk,0.9954284179,0.3114615442,0.1438200274,0.9195401143999999,0.1202089823,0.0404929027,79.795,0.4733627871,Charles Manson,I Can See You,534
000,Folk,0.9957162406,0.44850851049999996,0.148548727,0.9423216420999999,0.1162726601,0.046574613,45.532,0.3559093211,Charles Manson,The Black Pirate,540
000,Folk,0.9956504513,0.5716136809000001,0.21287689010000002,0.9425357801,0.1128822634,0.0683075865,98.047,0.44410296270000005,Charles Manson,If You Have No One,546
000,Rock,0.3049734899,0.0776074462,0.9852859209999999,0.6842740656999999,0.3111749891,0.0672688702,178.194,0.2626510913,Clockcleaner,Caliente Queen,574
000,Folk,0.9874326721,0.3208894632,0.0574058783,0.7858920004000001,0.0920788278,0.0401459234,75.739,0.0600717329,Dora Bleu,Disappearing,602
000,Experimental,,,,,,,,,EKG,"Immaterial, side A",615
000,Folk,0.8852881115000001,0.7879726403,0.23648102850000002,0.9077923918999999,0.1175990858,0.0365775796,140.057,0.4772115046,Ed Askew,Arabesque,620
000,Folk,0.9763283789,0.33747589240000003,0.33874609619999996,0.7089930973,0.11683173990000001,0.033143293500000004,99.978,0.18463073149999998,Ed Askew,Blue Eyed Baby,621
000,Folk,0.9847438479999999,0.3434473556,0.2938124533,0.0576944525,0.0964654294,0.029871164500000002,92.749,0.0974817452,Ed Askew,Climbing To The Top,625
000,International,,,,,,,,,Explode Into Colors,Heat,666
000,International,,,,,,,,,Explode Into Colors,Sharpen The Knife,667
000,Hip-Hop,,,,,,,,,Fanatic,The Tension,676
000,Rock,0.0403489418,0.2967392425,0.9564261719,0.9340780549,0.6100837294,0.0760720385,146.953,0.3121138885,Flying Luttenbachers,Cataclysm,690
000,Hip-Hop,0.1458427055,0.4053453629,0.842615945,1.18e-08,0.0666304994,0.5634644339,98.315,0.3443116064,Food For Animals,Planet Say (featuring Faust),694
000,Hip-Hop,0.3113244672,0.2916881798,0.8108574058,0.44010699,0.3621457004,0.1060185314,166.2,0.5480567941,Food For Animals,Elephants,695
000,International,,,,,,,,,Fósforo,Mano De Dios,704
000,International,,,,,,,,,Fósforo,Tio Cocodrilo,705
000,International,,,,,,,,,Fósforo,Esto Es Califas,706
000,International,,,,,,,,,Fósforo,Cochabamba,707
000,International,,,,,,,,,Fósforo,Desconocido,708
000,International,,,,,,,,,Fósforo,Cumbia De Obama,709
000,Folk,0.3654471625,0.2617475693,0.0723938509,0.8740612381999999,0.1313893741,0.0378087678,45.527,0.0342540436,Fursaxa,Circle Moon,714
000,Folk,0.9688864623000001,0.1553403861,0.21230275989999997,0.9454553954000001,0.34513338060000004,0.037940942400000004,93.523,0.0545813398,Fursaxa,Kokopelli,715
000,Folk,0.9850551899,0.1246810839,0.0263421742,0.9682346122,0.1039391422,0.044421808099999995,145.716,0.0337189309,Fursaxa,Saxalainen,716
000,Folk,0.9604920231,0.3342395136,0.1038395016,0.0017117107999999998,0.1322383258,0.0340278803,19.659,0.0393351264,Fursaxa,Song Of The Spindle Berry,718
000,Rock,0.12861449519999998,0.644333109,0.4460819136,0.2665649572,0.17491269690000003,0.2035079652,110.101,0.23298899609999998,Glove Compartment,Relaxing,777
000,Folk,0.9926913948,0.2908645125,0.1011084324,0.8967505241,0.11155292859999999,0.0296174812,100.979,0.2022765231,Hall Of Fame,Motion Passings,814
